Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.14565544e-08,-4.23879043e-08
-172.2,0.0,0.0,-2.35370797e-08,-2.18408234e-08
-164.3,0.0,0.0,3.06727702e-08,-1.50384335e-08
-156.5,0.0,0.0,7.61049650e-08,-2.22809564e-08
-148.7,0.0,0.0,9.64837055e-08,1.31203735e-07
-140.9,0.0,0.0,3.00612212e-08,3.19466988e-07
-133.0,0.0,0.0,1.08998983e-07,5.17256876e-07
-125.2,0.0,0.0,1.34422281e-07,4.18610129e-07
-117.4,0.0,0.0,1.55228407e-07,5.25867228e-07
-109.6,0.0,0.0,1.38862715e-07,7.17522275e-07
-101.7,0.0,0.0,1.38181507e-07,7.03024596e-07
-93.9,0.0,0.0,1.28686664e-07,7.87522605e-07
-86.1,0.0,0.0,1.23113776e-07,9.42262423e-07
-78.3,0.0,0.0,1.39445625e-07,1.09909483e-06
-70.4,0.0,0.0,1.21701591e-07,1.11278221e-06
-62.6,0.0,0.0,1.55816286e-07,1.40757216e-06
-54.8,0.0,0.0,1.27452804e-07,1.32984936e-06
-47.0,0.0,0.0,1.57560597e-07,1.25019335e-06
-39.1,0.0,0.0,1.77786986e-07,1.28785892e-06
-31.3,0.0,0.0,1.63654265e-07,1.21230723e-06
-23.5,0.0,0.0,1.88397374e-07,1.14827773e-06
-15.7,0.0,0.0,1.09920413e-07,1.30383659e-06
-7.8,0.0,0.0,7.79968352e-08,1.50899554e-06
0.0,0.0,0.0,1.21922042e-07,1.12633801e-06
7.8,0.0,0.0,4.97345698e-08,1.04203429e-06
15.7,0.0,0.0,4.91688725e-08,9.74349910e-07
23.5,0.0,0.0,-1.07766441e-08,8.47957878e-07
31.3,0.0,0.0,1.72475691e-08,9.73978466e-07
39.1,0.0,0.0,6.05077365e-09,9.04129283e-07
47.0,0.0,0.0,9.74748234e-08,9.92422671e-07
54.8,0.0,0.0,1.08645498e-07,1.09660653e-06
62.6,0.0,0.0,1.18918848e-07,1.16154366e-06
70.4,0.0,0.0,1.26938778e-07,1.20435579e-06
78.3,0.0,0.0,1.13939511e-07,1.12694752e-06
86.1,0.0,0.0,1.39479518e-07,1.04319267e-06
93.9,0.0,0.0,1.28784009e-07,1.14846771e-06
101.7,0.0,0.0,1.32664986e-07,9.95343745e-07
109.6,0.0,0.0,1.40135874e-07,1.07364912e-06
117.4,0.0,0.0,5.33983701e-08,1.13124734e-06
125.2,0.0,0.0,1.10484198e-07,9.50496556e-07
133.0,0.0,0.0,5.36566730e-09,9.24086358e-07
140.9,0.0,0.0,-8.85621282e-09,7.69909886e-07
148.7,0.0,0.0,-3.30809174e-08,7.14211179e-07
156.5,0.0,0.0,-5.62022850e-09,8.25948210e-07
164.3,0.0,0.0,7.78858516e-08,5.61906564e-07
172.2,0.0,0.0,1.20039024e-07,4.52115494e-07
