Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,8.11084741e-10,-1.34522115e-07
-172.2,0.0,0.0,-1.47691355e-09,1.71896496e-08
-164.3,0.0,0.0,2.07898585e-09,2.51064855e-07
-156.5,0.0,0.0,5.20261500e-08,2.99657605e-07
-148.7,0.0,0.0,2.60354807e-08,2.78401020e-07
-140.9,0.0,0.0,-4.45287345e-08,2.95576370e-07
-133.0,0.0,0.0,-6.86952952e-08,6.83262989e-07
-125.2,0.0,0.0,-8.49661148e-09,7.84131090e-07
-117.4,0.0,0.0,4.58782986e-08,7.47599317e-07
-109.6,0.0,0.0,-8.34160917e-09,7.98473704e-07
-101.7,0.0,0.0,-8.72490594e-09,6.58648127e-07
-93.9,0.0,0.0,-7.99802515e-09,5.58942775e-07
-86.1,0.0,0.0,-7.97339634e-08,4.49315975e-07
-78.3,0.0,0.0,-8.35371711e-08,4.63457283e-07
-70.4,0.0,0.0,-5.86916229e-08,3.63358691e-07
-62.6,0.0,0.0,-3.74104900e-08,-4.71329093e-08
-54.8,0.0,0.0,-4.70686006e-08,-1.91802427e-07
-47.0,0.0,0.0,-4.98791368e-08,-2.91720543e-07
-39.1,0.0,0.0,-2.14023728e-08,-3.07092885e-07
-31.3,0.0,0.0,-3.89791769e-08,-4.72783411e-07
-23.5,0.0,0.0,3.33540144e-08,-4.97649231e-07
-15.7,0.0,0.0,2.46167476e-08,-5.36859546e-07
-7.8,0.0,0.0,6.36805042e-08,-6.32230933e-07
0.0,0.0,0.0,2.95486543e-08,-5.51901070e-07
7.8,0.0,0.0,2.47246766e-08,-7.73835436e-07
15.7,0.0,0.0,2.96594633e-08,-8.60884451e-07
23.5,0.0,0.0,8.95167725e-08,-1.14796317e-06
31.3,0.0,0.0,9.28675155e-08,-1.00913811e-06
39.1,0.0,0.0,6.20422047e-08,-8.84448838e-07
47.0,0.0,0.0,4.63014830e-08,-8.12538237e-07
54.8,0.0,0.0,5.79029860e-08,-7.53423509e-07
62.6,0.0,0.0,3.84419540e-08,-9.73677165e-07
70.4,0.0,0.0,4.26669045e-08,-9.50368130e-07
78.3,0.0,0.0,-3.18337116e-08,-7.52332583e-07
86.1,0.0,0.0,-3.11730958e-08,-6.57439727e-07
93.9,0.0,0.0,2.06120342e-09,-5.71998371e-07
101.7,0.0,0.0,1.37122657e-08,-6.89929226e-07
109.6,0.0,0.0,-7.13658845e-09,-5.90466963e-07
117.4,0.0,0.0,2.47971824e-08,-6.01625260e-07
125.2,0.0,0.0,-7.61323576e-09,-6.63458365e-07
133.0,0.0,0.0,5.32045118e-08,-7.38381986e-07
140.9,0.0,0.0,-1.46878750e-08,-9.05626105e-07
148.7,0.0,0.0,4.81399117e-08,-1.12521417e-06
156.5,0.0,0.0,9.21653001e-08,-1.19121615e-06
164.3,0.0,0.0,9.45500812e-08,-1.46133622e-06
172.2,0.0,0.0,6.03726043e-08,-1.58322083e-06
