Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.59315579e-08,1.31620509e-07
-172.2,0.0,0.0,-3.29176590e-08,2.11582198e-07
-164.3,0.0,0.0,1.91975471e-08,2.52260505e-07
-156.5,0.0,0.0,-5.93173038e-08,3.36840416e-07
-148.7,0.0,0.0,-4.90828009e-08,4.11379835e-07
-140.9,0.0,0.0,-2.58931263e-08,4.35166930e-07
-133.0,0.0,0.0,-1.68135474e-08,2.35523402e-07
-125.2,0.0,0.0,2.24105756e-08,8.77609893e-09
-117.4,0.0,0.0,1.01224159e-08,8.95847100e-08
-109.6,0.0,0.0,7.58878070e-08,1.79325459e-07
-101.7,0.0,0.0,3.65107672e-08,2.99895790e-07
-93.9,0.0,0.0,7.05950912e-08,2.22825746e-07
-86.1,0.0,0.0,3.02519178e-08,2.40963699e-07
-78.3,0.0,0.0,5.31114207e-08,2.50586450e-07
-70.4,0.0,0.0,4.97669739e-08,2.39503962e-07
-62.6,0.0,0.0,9.37448017e-09,3.94804579e-08
-54.8,0.0,0.0,1.15283450e-07,2.92625116e-07
-47.0,0.0,0.0,5.70631996e-08,1.98709028e-07
-39.1,0.0,0.0,6.36069133e-08,-1.30198149e-07
-31.3,0.0,0.0,6.82456227e-09,-3.67784666e-07
-23.5,0.0,0.0,-5.88808724e-09,-6.96255985e-07
-15.7,0.0,0.0,-5.95416702e-09,-8.41050614e-07
-7.8,0.0,0.0,-3.68309465e-08,-8.39247282e-07
0.0,0.0,0.0,-3.07534570e-08,-1.02244387e-06
7.8,0.0,0.0,2.16689308e-08,-9.81593732e-07
15.7,0.0,0.0,-4.76320315e-08,-9.86832205e-07
23.5,0.0,0.0,8.60144550e-09,-9.84901837e-07
31.3,0.0,0.0,-5.19898740e-08,-9.66154509e-07
39.1,0.0,0.0,-7.83002813e-08,-1.08685853e-06
47.0,0.0,0.0,-7.64266880e-08,-1.04820559e-06
54.8,0.0,0.0,-1.68433036e-08,-1.08301568e-06
62.6,0.0,0.0,-2.85786544e-08,-9.78721146e-07
70.4,0.0,0.0,-6.89522133e-08,-8.89397758e-07
78.3,0.0,0.0,-3.06835360e-08,-9.70255887e-07
