Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.01678942e-08,1.55860725e-07
-172.2,0.0,0.0,-3.56640870e-08,3.11840757e-07
-164.3,0.0,0.0,-6.70379121e-08,1.72203239e-07
-156.5,0.0,0.0,-5.89158954e-08,2.58076444e-07
-148.7,0.0,0.0,-1.22228311e-07,1.92583181e-07
-140.9,0.0,0.0,-8.34220083e-08,3.63224156e-07
-133.0,0.0,0.0,-9.57640691e-08,4.73556173e-07
-125.2,0.0,0.0,-1.26496818e-07,5.67942664e-07
-117.4,0.0,0.0,-1.59138004e-07,6.32268765e-07
-109.6,0.0,0.0,-1.37642414e-07,7.19778863e-07
-101.7,0.0,0.0,-2.26687527e-07,8.38334368e-07
-93.9,0.0,0.0,-2.67438932e-07,1.15560027e-06
-86.1,0.0,0.0,-2.53651501e-07,1.32441476e-06
-78.3,0.0,0.0,-2.25045913e-07,1.23303519e-06
-70.4,0.0,0.0,-2.70182847e-07,1.28670992e-06
-62.6,0.0,0.0,-2.48980309e-07,1.07317815e-06
-54.8,0.0,0.0,-2.33984412e-07,1.06874332e-06
-47.0,0.0,0.0,-2.04694579e-07,8.78239205e-07
-39.1,0.0,0.0,-1.80036966e-07,7.92397398e-07
-31.3,0.0,0.0,-1.30791761e-07,7.46469393e-07
-23.5,0.0,0.0,-1.56639944e-07,5.65162544e-07
-15.7,0.0,0.0,-2.04509767e-07,6.90254810e-07
-7.8,0.0,0.0,-2.02562485e-07,8.02229381e-07
0.0,0.0,0.0,-2.21531913e-07,5.84401826e-07
7.8,0.0,0.0,-2.64842947e-07,6.74416576e-07
15.7,0.0,0.0,-2.83437375e-07,5.61268412e-07
23.5,0.0,0.0,-2.29741375e-07,5.74032858e-07
31.3,0.0,0.0,-1.87310901e-07,4.89763977e-07
39.1,0.0,0.0,-1.69373490e-07,4.98441261e-07
47.0,0.0,0.0,-1.28726002e-07,4.27217084e-07
54.8,0.0,0.0,-2.06096711e-07,4.23944908e-07
62.6,0.0,0.0,-2.16006855e-07,3.47603363e-07
70.4,0.0,0.0,-2.02004001e-07,4.34251571e-07
78.3,0.0,0.0,-2.48690338e-07,6.99363468e-07
86.1,0.0,0.0,-2.24763271e-07,7.41796862e-07
93.9,0.0,0.0,-2.63527709e-07,7.07630370e-07
101.7,0.0,0.0,-1.89588410e-07,3.87450597e-07
109.6,0.0,0.0,-1.93805634e-07,3.00774002e-07
117.4,0.0,0.0,-1.95996622e-07,8.34079572e-08
125.2,0.0,0.0,-2.19442173e-07,-2.46374157e-07
133.0,0.0,0.0,-2.16428363e-07,-2.43583619e-07
140.9,0.0,0.0,-2.54601919e-07,3.69585544e-08
148.7,0.0,0.0,-2.81389411e-07,-2.97401394e-08
156.5,0.0,0.0,-2.27480115e-07,-8.40832779e-08
164.3,0.0,0.0,-2.81035940e-07,-5.28585517e-08
172.2,0.0,0.0,-2.70584499e-07,-3.11529043e-07
