Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-3.22294334e-08,-9.37495647e-08
-172.2,0.0,0.0,-3.52378162e-09,-8.50528250e-08
-164.3,0.0,0.0,-3.59247124e-08,-6.61126153e-08
-156.5,0.0,0.0,-1.74329888e-08,1.25759807e-07
-148.7,0.0,0.0,-3.89666144e-08,5.36560594e-07
-140.9,0.0,0.0,2.80961774e-08,4.05523003e-07
-133.0,0.0,0.0,-3.52926927e-08,-7.89451499e-09
-125.2,0.0,0.0,-6.07128158e-08,2.52177613e-08
-117.4,0.0,0.0,7.99465951e-09,2.47240440e-07
-109.6,0.0,0.0,-4.84560738e-08,2.43586637e-07
-101.7,0.0,0.0,-6.93105374e-08,1.57847353e-07
-93.9,0.0,0.0,-5.08601346e-08,9.85170403e-09
-86.1,0.0,0.0,-6.99929072e-08,4.75784812e-08
-78.3,0.0,0.0,-7.63950170e-08,1.52484738e-07
-70.4,0.0,0.0,-4.93671462e-09,1.71926596e-07
-62.6,0.0,0.0,-6.43781360e-08,1.57614223e-07
-54.8,0.0,0.0,1.79525217e-08,1.33176058e-07
-47.0,0.0,0.0,2.79533150e-08,1.28553609e-07
-39.1,0.0,0.0,-6.79736704e-09,6.98427598e-08
-31.3,0.0,0.0,-5.84622816e-08,-6.73162378e-08
-23.5,0.0,0.0,-9.63591280e-08,-9.52100661e-08
-15.7,0.0,0.0,-7.69298365e-08,3.49079773e-09
-7.8,0.0,0.0,-7.03617351e-08,-1.91216480e-07
0.0,0.0,0.0,-7.69350130e-08,-2.43530336e-07
7.8,0.0,0.0,-7.36808614e-08,-3.02320705e-07
15.7,0.0,0.0,-6.85879652e-08,-4.33096130e-07
23.5,0.0,0.0,-9.58333044e-08,-3.40573691e-07
31.3,0.0,0.0,-1.10898128e-07,-2.11897837e-07
39.1,0.0,0.0,-1.09601189e-07,-1.77763626e-07
47.0,0.0,0.0,-3.65124913e-08,-2.90017794e-07
54.8,0.0,0.0,-6.91567950e-08,-3.46485860e-07
62.6,0.0,0.0,-5.63061457e-08,-1.80594360e-07
70.4,0.0,0.0,-6.57980316e-08,-1.10353995e-07
78.3,0.0,0.0,-6.48802817e-08,2.55698587e-07
86.1,0.0,0.0,-7.97593649e-08,9.50066773e-08
93.9,0.0,0.0,-5.15766913e-08,3.38897081e-07
101.7,0.0,0.0,-9.35858357e-08,6.62342791e-07
109.6,0.0,0.0,-1.13702170e-07,6.23285260e-07
117.4,0.0,0.0,-1.62563525e-07,8.32792687e-07
125.2,0.0,0.0,-1.66561439e-07,8.83978908e-07
133.0,0.0,0.0,-1.67087429e-07,8.43144927e-07
140.9,0.0,0.0,-1.54636595e-07,9.85950084e-07
148.7,0.0,0.0,-1.34135947e-07,1.04964712e-06
156.5,0.0,0.0,-9.23650801e-08,1.10210266e-06
164.3,0.0,0.0,-1.08926033e-07,1.13043966e-06
172.2,0.0,0.0,-1.08721710e-07,1.20258964e-06
