Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,1.04919729e-08,-1.00753114e-07
-172.2,0.0,0.0,-2.49238901e-08,-4.70054337e-08
-164.3,0.0,0.0,-2.00343761e-08,-1.81310523e-07
-156.5,0.0,0.0,-7.05671952e-08,-2.39522855e-08
-148.7,0.0,0.0,-8.94666296e-08,5.36988346e-08
-140.9,0.0,0.0,-7.49410570e-08,6.12308698e-08
-133.0,0.0,0.0,-1.20516209e-07,2.03211188e-07
-125.2,0.0,0.0,-1.90730739e-07,4.40562004e-07
-117.4,0.0,0.0,-2.18342312e-07,3.56959411e-07
-109.6,0.0,0.0,-2.41225793e-07,1.24758841e-07
-101.7,0.0,0.0,-2.51861922e-07,-1.19691648e-07
-93.9,0.0,0.0,-2.85032874e-07,-3.09012581e-07
-86.1,0.0,0.0,-2.53799986e-07,-2.03088296e-07
-78.3,0.0,0.0,-2.65031456e-07,1.77437186e-08
-70.4,0.0,0.0,-2.41591887e-07,1.74197636e-07
-62.6,0.0,0.0,-2.62663616e-07,1.46086057e-07
-54.8,0.0,0.0,-2.34090258e-07,1.08682785e-07
-47.0,0.0,0.0,-1.62525290e-07,1.49292051e-07
-39.1,0.0,0.0,-1.42886550e-07,2.03061150e-07
-31.3,0.0,0.0,-1.73662132e-07,2.04410450e-07
-23.5,0.0,0.0,-1.86018452e-07,2.69543811e-07
-15.7,0.0,0.0,-6.27352737e-08,4.68130323e-07
-7.8,0.0,0.0,-1.59790377e-07,3.94928494e-07
0.0,0.0,0.0,-1.61864886e-07,5.49360067e-07
7.8,0.0,0.0,-2.09180894e-07,8.29554081e-07
15.7,0.0,0.0,-1.11037842e-07,7.10638338e-07
23.5,0.0,0.0,-1.10644112e-07,6.12794737e-07
31.3,0.0,0.0,-8.13499908e-08,4.02074349e-07
39.1,0.0,0.0,-8.66613715e-08,3.32494197e-07
47.0,0.0,0.0,-5.90172060e-08,2.67712314e-07
54.8,0.0,0.0,-1.00947173e-07,3.00492396e-07
62.6,0.0,0.0,-1.32771864e-07,2.66872864e-07
70.4,0.0,0.0,-1.22696761e-07,3.86762598e-07
78.3,0.0,0.0,-1.27088676e-07,7.95658834e-08
86.1,0.0,0.0,-1.16012135e-07,-1.36507324e-08
93.9,0.0,0.0,-8.28432791e-08,4.18889981e-08
101.7,0.0,0.0,-4.38307366e-08,5.70051916e-08
109.6,0.0,0.0,-2.58503824e-08,2.97118784e-07
117.4,0.0,0.0,-8.43377030e-09,2.49263465e-07
125.2,0.0,0.0,2.10172897e-08,3.80050121e-07
133.0,0.0,0.0,1.13387332e-08,4.86617376e-07
140.9,0.0,0.0,9.00241433e-08,5.34644532e-07
148.7,0.0,0.0,1.08435266e-07,7.51754434e-07
156.5,0.0,0.0,4.02688368e-08,8.73494507e-07
164.3,0.0,0.0,-8.14575605e-09,7.50921967e-07
172.2,0.0,0.0,-1.91909978e-08,6.21907073e-07
