Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,-1.17765094e-08,-5.23530983e-08
-172.2,0.0,0.0,1.09163277e-08,-3.81973345e-08
-164.3,0.0,0.0,-2.63577958e-08,-1.54386685e-07
-156.5,0.0,0.0,-9.85095769e-08,-2.41939857e-07
-148.7,0.0,0.0,-7.31473730e-08,-1.25126402e-07
-140.9,0.0,0.0,-1.28234607e-07,-1.00642750e-07
-133.0,0.0,0.0,-9.37029313e-08,-4.03757785e-07
-125.2,0.0,0.0,-2.12339039e-07,-3.11353802e-07
-117.4,0.0,0.0,-1.10523580e-07,-1.36894282e-07
-109.6,0.0,0.0,-1.75644599e-07,-2.07178645e-07
-101.7,0.0,0.0,-1.99685743e-07,-2.28038584e-07
-93.9,0.0,0.0,-2.17218159e-07,-1.49771231e-07
-86.1,0.0,0.0,-2.51889685e-07,-1.99556098e-07
-78.3,0.0,0.0,-2.28182537e-07,-4.77268634e-08
-70.4,0.0,0.0,-2.43408569e-07,5.29790042e-08
-62.6,0.0,0.0,-1.88389373e-07,3.37542763e-08
-54.8,0.0,0.0,-1.79613386e-07,-1.01954515e-07
-47.0,0.0,0.0,-1.59339260e-07,-2.75222736e-07
-39.1,0.0,0.0,-1.06860014e-07,-4.92613229e-07
-31.3,0.0,0.0,-1.43887507e-07,-5.14478457e-07
-23.5,0.0,0.0,-9.27973997e-08,-4.65121295e-07
-15.7,0.0,0.0,-1.25948776e-07,-5.76131953e-07
-7.8,0.0,0.0,-5.56283869e-08,-6.16940081e-07
0.0,0.0,0.0,-1.40825583e-07,-7.12351322e-07
7.8,0.0,0.0,-1.18600333e-07,-5.20576727e-07
15.7,0.0,0.0,-1.32619448e-07,-4.19500718e-07
23.5,0.0,0.0,-2.49048469e-07,-5.22155390e-07
31.3,0.0,0.0,-2.31785647e-07,-4.85729610e-07
39.1,0.0,0.0,-2.21044833e-07,-4.17786005e-07
47.0,0.0,0.0,-1.52926737e-07,-4.98219420e-07
54.8,0.0,0.0,-1.30713438e-07,-5.07385338e-07
62.6,0.0,0.0,-1.65093588e-07,-4.20407051e-07
70.4,0.0,0.0,-2.32632051e-07,-4.29494364e-07
78.3,0.0,0.0,-1.59691430e-07,-4.49183569e-07
86.1,0.0,0.0,-2.06494333e-07,-4.32180438e-07
93.9,0.0,0.0,-2.04038033e-07,-5.67649798e-07
101.7,0.0,0.0,-2.19722576e-07,-5.18461181e-07
109.6,0.0,0.0,-2.15025586e-07,-3.57634925e-07
117.4,0.0,0.0,-1.38442639e-07,-3.72793695e-07
125.2,0.0,0.0,-1.43926352e-07,5.04094194e-08
133.0,0.0,0.0,-1.39667736e-07,4.22092837e-07
140.9,0.0,0.0,-1.69949646e-07,5.54510708e-07
148.7,0.0,0.0,-1.46202156e-07,3.93987129e-07
156.5,0.0,0.0,-1.73959122e-07,4.37468163e-07
164.3,0.0,0.0,-1.83302883e-07,2.72343214e-07
172.2,0.0,0.0,-1.79457131e-07,4.04751923e-07
