Experiment
% Mast Angle, Arm Angle, Background RSSI, Real, Imag
-180.0,0.0,0.0,7.05705779e-10,2.13572877e-07
-172.2,0.0,0.0,5.56794008e-08,5.04574268e-07
-164.3,0.0,0.0,-3.86839036e-08,4.86290745e-07
-156.5,0.0,0.0,2.09488688e-08,5.35815284e-07
-148.7,0.0,0.0,5.47236942e-08,7.22947329e-07
-140.9,0.0,0.0,-8.19168455e-09,6.46281342e-07
-133.0,0.0,0.0,-2.75405660e-08,7.01510873e-07
-125.2,0.0,0.0,-6.77130663e-09,7.97311039e-07
-117.4,0.0,0.0,-1.67016778e-08,8.28315307e-07
-109.6,0.0,0.0,-2.13312801e-08,9.28885529e-07
-101.7,0.0,0.0,-2.19257952e-08,1.11440981e-06
-93.9,0.0,0.0,-1.71447443e-09,1.28044751e-06
-86.1,0.0,0.0,-2.19875301e-08,1.48226620e-06
-78.3,0.0,0.0,-4.80803168e-08,1.50976073e-06
-70.4,0.0,0.0,-8.44917251e-08,1.57808411e-06
-62.6,0.0,0.0,-1.18274877e-07,1.80106039e-06
-54.8,0.0,0.0,-1.22661964e-07,1.81625621e-06
-47.0,0.0,0.0,-7.43163860e-08,1.87811691e-06
-39.1,0.0,0.0,-3.02320577e-08,1.61630627e-06
-31.3,0.0,0.0,-1.71337102e-08,1.56058470e-06
-23.5,0.0,0.0,-5.67443128e-08,1.52368682e-06
-15.7,0.0,0.0,-4.54220854e-08,1.53509643e-06
-7.8,0.0,0.0,-2.73178919e-08,1.63049019e-06
0.0,0.0,0.0,-1.54572236e-08,1.73950078e-06
7.8,0.0,0.0,-3.67712428e-08,1.83566704e-06
15.7,0.0,0.0,-1.31470519e-08,1.61768579e-06
23.5,0.0,0.0,-6.40760431e-08,1.72795557e-06
31.3,0.0,0.0,-2.25121807e-08,1.90324545e-06
39.1,0.0,0.0,-6.56070720e-08,1.91666494e-06
47.0,0.0,0.0,-8.70219663e-08,2.05329809e-06
54.8,0.0,0.0,-1.60791843e-07,2.18752490e-06
62.6,0.0,0.0,-8.48212182e-08,2.13416904e-06
70.4,0.0,0.0,-6.18384000e-08,2.21031870e-06
78.3,0.0,0.0,-6.77028219e-08,2.36217332e-06
86.1,0.0,0.0,-5.34433736e-08,2.26206962e-06
93.9,0.0,0.0,-8.67064088e-08,2.07529397e-06
101.7,0.0,0.0,-3.88703648e-08,2.05715097e-06
109.6,0.0,0.0,-1.50592065e-08,2.18709505e-06
117.4,0.0,0.0,-2.40631860e-08,2.45417241e-06
125.2,0.0,0.0,3.53688457e-08,2.42949223e-06
133.0,0.0,0.0,-6.14805267e-09,2.24585612e-06
140.9,0.0,0.0,3.06323367e-09,2.21174548e-06
148.7,0.0,0.0,7.95098591e-08,2.10615020e-06
156.5,0.0,0.0,8.02703833e-08,1.90030060e-06
164.3,0.0,0.0,6.78565827e-08,1.79655743e-06
172.2,0.0,0.0,8.88533596e-08,1.97829627e-06
